rider_id,team_id,firstname,lastname,age,birthday,country,region,portrait,weight,height,stat_flat,stat_mountain,stat_medium_mountain,stat_downhill,stat_cobbles,stat_timetrial,stat_prologue,stat_sprint,stat_acceleration,stat_endurance,stat_resistance,stat_recovery,stat_hill,stat_fighter,real_rider
1,1,Olaf,Ludwig,33,19600413,5,Thuringen,,70,178,80,60,60,68,81,70,72,83,84,79,79,74,72,78,1
2,1,Uwe,Ampler,29,19640811,5,Sachsen Anhalt,,63,178,75,74,74,68,70,78,79,66,70,75,74,74,76,76,1
3,1,Brian,Holm,31,19621002,9,Hovedstaden,,68,178,76,66,66,72,76,74,70,73,74,75,76,68,76,76,1
4,1,Udo,Bölts,27,19660718,5,Rheinland Pfalz,,63,175,73,77,77,71,62,67,69,72,75,76,77,75,77,73,1
5,1,Gerard,Veldscholten,33,19600819,6,Overijssel,,70,178,75,72,72,69,73,66,72,73,73,75,75,71,75,72,1
6,1,Etienne,de Wilde,33,19600323,2,Oost Vlaanderen,,68,178,75,66,66,64,75,64,65,79,80,78,78,67,73,72,1
7,1,Jens,Heppner,29,19641223,5,Thuringen,,0,0,76,71,71,73,60,66,64,68,77,74,74,74,77,80,1
8,1,Rolf,Aldag,25,19680825,5,Nordrhein Westfalen,,69,180,76,63,63,65,64,72,68,66,73,75,73,70,74,80,1
9,1,Erik,Zabel,23,19700707,5,Berlin,,0,0,74,65,65,68,71,66,68,77,77,73,71,65,69,74,1
10,1,Marc,van Orsouw,29,19640412,6,Limburg,,70,178,76,64,64,72,72,70,71,68,69,70,70,67,65,79,1
11,1,Jacques,Hanegraaf,33,19601214,6,Noord Brabant,,65,180,75,65,65,66,73,61,62,78,77,73,72,66,72,71,1
12,1,Steffen,Wesemann,22,19710311,5,Sachsen Anhalt,,0,0,69,64,64,69,73,65,70,73,74,69,72,65,70,77,1
13,1,Markus,Hess,32,19610511,5,Baden Wurttemberg,,75,186,76,66,66,71,62,66,69,68,73,70,68,70,74,76,1
14,1,Uwe,Raab,31,19620726,5,Niedersachsen,,68,178,76,62,62,64,67,67,63,76,75,75,74,65,67,74,1
15,1,Carsten,Wolf,29,19640420,5,Brandenburg,,81,190,74,55,55,69,67,65,71,75,75,74,69,67,66,76,1
16,1,Gerd,Audehm,25,19680814,5,Brandenburg,,0,0,72,72,72,67,58,68,68,69,71,73,73,70,71,70,1
17,1,Sven,Teutenberg,21,19720818,5,Nordrhein Westfalen,,0,0,74,60,60,71,62,58,65,75,75,69,75,70,67,76,1
18,1,Mario,Kummer,31,19620506,5,Thuringen,,73,179,75,64,64,63,62,71,71,63,69,71,71,67,72,70,1
19,1,Bernd,Gröne,29,19640118,5,Nordrhein Westfalen,,74,189,67,73,73,67,65,70,70,68,66,71,68,65,72,66,1
20,1,Rudi,Kemna,26,19671222,6,Overijssel,,75,184,72,60,60,70,70,68,74,70,70,68,68,63,66,66,1
21,1,Guido,Eickelbeck,26,19671117,5,Nordrhein Westfalen,,60,170,71,71,71,71,60,65,66,67,67,68,67,66,70,72,1
22,1,Christian,Henn,29,19640311,5,Baden Wurteemberg,,68,176,74,66,66,66,55,65,66,71,71,70,70,65,68,74,1
23,1,Bert,Dietz,24,19690209,5,Sachsen,,0,0,67,70,70,68,66,58,60,61,70,72,72,65,72,78,1
24,1,Jan,Ullrich,20,19731202,5,Mecklenburg Vorpommern,,73,183,72,73,73,63,59,72,68,58,63,66,66,68,70,65,1
25,1,Dominik,Krieger,25,19680625,5,Baden Wurteemberg,,65,176,72,65,65,60,55,70,71,62,62,65,69,63,67,75,1
26,1,Michael,Rich,24,19690923,5,Baden Wurttemberg,,0,0,71,58,58,64,64,72,72,60,62,71,66,63,66,64,1
27,1,Jens,Lehmann,26,19671219,5,Sachsen Anhalt,,0,0,76,57,57,61,58,71,75,65,63,67,68,57,60,60,1
28,1,Jürgen,Werner,23,19700720,5,Sachsen,,0,0,66,66,66,66,56,58,58,58,67,66,73,63,71,66,1
29,1,Dieter,Giebken,33,19601209,5,Nordrhein Westfalen,,0,0,66,60,60,60,60,60,60,67,72,60,60,60,60,60,1
30,1,Carsten,Holtman,25,19680101,5,,,0,0,62,60,60,63,60,60,60,60,65,62,60,60,60,63,1
31,2,Sean,Kelly,33,19600524,11,,,66,177,80,75,78,72,81,75,75,78,81,80,79,76,81,79,1
32,2,Steven,Rooks,33,19600807,6,Noord Holland,,68,175,76,78,80,72,75,72,73,73,81,83,83,75,82,80,1
33,2,Thierry,Marie,30,19630625,1,Basse Normandie,,67,178,83,67,70.5,70,70,83,84,71,75,78,76,75,74,78,1
34,2,Eric,van Lancker,32,19610430,2,Oost Vlaanderen,,68,178,76,72,77.5,67,70,71,72,70,83,82,78,76,83,77,1
35,2,Jean-Paul,van Poppel,31,19620930,6,Noord Brabant,,66,178,80,60,65.5,63,72,70,73,83,85,83,83,75,71,73,1
36,2,Thomas,Wegmüller,33,19600928,12,Bern,,67,178,77,65,70,70,76,75,79,72,74,74,73,68,75,77,1
37,2,Mauro,Gianetti,29,19640316,12,Ticino,,70,177,74,72,74,73,65,68,68,71,73,76,73,70,76,74,1
38,2,Martin,Earley,31,19620615,11,,,67,179,76,66,70.5,66,73,72,72,69,69,74,73,67,75,76,1
39,2,Luis,Pérez Garcia,27,19660723,4,Castilla y Leon,,70,178,69,76,75.5,74,57,66,65,65,75,73,74,73,75,78,1
40,2,Acácio Mora,Da Silva,32,19610102,7,Norte,,69,179,74,74,75.5,70,58,68,68,70,73,73,73,65,77,75,1
41,2,Jans,Koerts,24,19690824,6,Gelderland,,67,190,75,72,71,66,71,67,67,75,76,70,71,69,70,65,1
42,2,Francisque,Teyssier,24,19690102,1,Provence Alpes Cote d'Azur,,0,0,73,65,69.5,69,59,75,76,66,70,73,68,68,74,77,1
43,2,Jos,van Aert,31,19620826,6,Noord Brabant,,69,178,74,66,70,70,70,67,68,65,70,76,71,66,74,75,1
44,2,Carlo,Finco,25,19680527,3,Veneto,,0,0,73,66,69.5,70,60,74,75,66,71,72,68,66,73,75,1
45,2,Roberto,Torrès Toledano,29,19640829,4,Languedoc Roussillon,,70,178,73,72,72.5,72,60,63,64,67,74,70,74,69,73,78,1
46,2,Richard,Virenque,24,19691119,1,Grand Casablanca,,0,0,67,77,75,62,64,65,66,66,72,73,72,71,73,78,1
47,2,Michel,Vermote,30,19630331,2,Hainaut,,67,178,76,64,66,72,67,62,63,76,77,75,75,64,68,66,1
